Id,ActivityHour,StepTotal
4558609924,2016-04-27,242
4558609924,2016-04-27,598
4558609924,2016-04-27,233
4558609924,2016-04-27,201
4558609924,2016-04-27,720
4558609924,2016-04-27,264
4558609924,2016-04-27,346
4558609924,2016-04-27,3807
4558609924,2016-04-27,1113
4558609924,2016-04-27,602
4558609924,2016-04-27,351
4558609924,2016-04-27,144
4558609924,2016-04-27,0
4558609924,2016-04-28,0
4558609924,2016-04-28,0
4558609924,2016-04-28,0
4558609924,2016-04-28,0
4558609924,2016-04-28,0
4558609924,2016-04-28,0
4558609924,2016-04-28,480
4558609924,2016-04-28,840
4558609924,2016-04-28,875
4558609924,2016-04-28,770
4558609924,2016-04-28,566
4558609924,2016-04-28,515
4558609924,2016-04-28,459
4558609924,2016-04-28,797
4558609924,2016-04-28,565
4558609924,2016-04-28,821
4558609924,2016-04-28,1606
4558609924,2016-04-28,498
4558609924,2016-04-28,110
4558609924,2016-04-28,156
4558609924,2016-04-28,178
4558609924,2016-04-28,143
4558609924,2016-04-28,67
4558609924,2016-04-28,5
4558609924,2016-04-29,0
4558609924,2016-04-29,0
4558609924,2016-04-29,0
4558609924,2016-04-29,0
4558609924,2016-04-29,0
4558609924,2016-04-29,0
4558609924,2016-04-29,0
4558609924,2016-04-29,0
4558609924,2016-04-29,0
4558609924,2016-04-29,41
4558609924,2016-04-29,416
4558609924,2016-04-29,213
4558609924,2016-04-29,411
4558609924,2016-04-29,612
4558609924,2016-04-29,66
4558609924,2016-04-29,2190
4558609924,2016-04-29,2660
4558609924,2016-04-29,93
4558609924,2016-04-29,95
4558609924,2016-04-29,279
4558609924,2016-04-29,164
4558609924,2016-04-29,410
4558609924,2016-04-29,86
4558609924,2016-04-29,97
4558609924,2016-04-30,0
4558609924,2016-04-30,105
4558609924,2016-04-30,0
4558609924,2016-04-30,0
4558609924,2016-04-30,0
4558609924,2016-04-30,0
4558609924,2016-04-30,303
4558609924,2016-04-30,218
4558609924,2016-04-30,155
